Download Winning Numbers from www.calottery.com on 1/14/2017 (manually updated daily)  for MEGA MILLIONS

------  -------------------      --------    --------    --------    --------    --------    ------
Draw #     Draw Date             Number_1    Number_2    Number_3    Number_4    Number_5     Mega
------  -------------------      --------    --------    --------    --------    --------    ------

+1878     Tue  Jun 20, 2023          00          00          00          00          00          00
1877     Fri  Jun 16, 2023          04          24          34          46          57          19
1876     Tue  Jun 13, 2023          08          10          19          44          47          04
1875     Fri  Jun 09, 2023          03          19          53          60          68          13
1874     Tue  Jun 06, 2023          06          12          23          29          57          04
1873     Fri  Jun 02, 2023          03          16          19          36          60          25
1872     Tue  May 30, 2023          13          16          40          64          68          21
1871     Fri  May 26, 2023          12          20          37          41          64          01
1870     Tue  May 23, 2023          03          10          22          65          66          19
1869     Fri  May 19, 2023          05          11          41          44          55          14
1868     Tue  May 16, 2023          15          34          36          69          70          17
1867     Fri  May 12, 2023          01          02          23          40          45          15
1866     Tue  May 09, 2023          04          37          46          48          51          19
1865     Fri  May 05, 2023          16          18          28          42          43          11
1864     Tue  May 02, 2023          03          15          16          32          41          09
1863     Fri  Apr 28, 2023          18          38          53          62          64          20
1862     Tue  Apr 25, 2023          08          29          46          47          48          12
1861     Fri  Apr 21, 2023          03          21          29          46          63          09
1860     Tue  Apr 18, 2023          07          09          15          19          25          04
1859     Fri  Apr 14, 2023          23          27          41          48          51          22
1858     Tue  Apr 11, 2023          31          35          53          54          55          24
1857     Fri  Apr 07, 2023          12          32          49          51          66          21
1856     Tue  Apr 04, 2023          01          37          45          62          64          04
1855     Fri  Mar 31, 2023          16          26          27          42          61          23
1854     Tue  Mar 28, 2023          02          03          18          32          68          24
1853     Fri  Mar 24, 2023          14          17          33          42          66          15
1852     Tue  Mar 21, 2023          01          21          25          27          40          11
1851     Fri  Mar 17, 2023          26          28          29          39          49          25
1850     Tue  Mar 14, 2023          01          07          23          38          55          02
1849     Fri  Mar 10, 2023          09          20          59          60          63          05
1848     Tue  Mar 07, 2023          15          22          25          28          69          21
1847     Fri  Mar 03, 2023          08          25          36          39          67          11
1846     Tue  Feb 28, 2023          14          16          40          52          59          13
1845     Fri  Feb 24, 2023          02          22          49          65          67          07
1844     Tue  Feb 21, 2023          02          15          30          36          63          24
1843     Fri  Feb 17, 2023          02          33          38          57          70          13
1842     Tue  Feb 14, 2023          23          24          35          40          43          01
1841     Fri  Feb 10, 2023          20          29          30          52          58          19
1840     Tue  Feb 07, 2023          09          15          46          55          57          04
1839     Fri  Feb 03, 2023          01          04          50          54          59          17
1838     Tue  Jan 31, 2023          07          09          18          29          39          13
1837     Fri  Jan 27, 2023          04          43          46          47          61          22
1836     Tue  Jan 24, 2023          33          41          47          50          62          20
1835     Fri  Jan 20, 2023          20          29          31          64          66          17
1834     Tue  Jan 17, 2023          02          12          18          24          39          18
1833     Fri  Jan 13, 2023          30          43          45          46          61          14
1832     Tue  Jan 10, 2023          07          13          14          15          18          09
1831     Fri  Jan 06, 2023          03          20          46          59          63          13
1830     Tue  Jan 03, 2023          25          29          33          41          44          18
1829     Fri  Dec 30, 2022          01          03          06          44          51          07
1828     Tue  Dec 27, 2022          09          13          36          59          61          11
1827     Fri  Dec 23, 2022          15          21          32          38          62          08
1826     Tue  Dec 20, 2022          03          04          33          36          52          17
