Download Winning Numbers from www.calottery.com on 1/14/2017  (manually updated daily)  for POWERBALL

------  ------------------      --------    --------    --------    --------    --------    ---------
Draw #      Draw Date           Number_1    Number_2    Number_3    Number_4    Number_5    Powerball
------  ------------------      --------    --------    --------    --------    --------    ---------

+1159    Sat  Jun 17, 2023          00          00          00          00          00          00
1158    Wed  Jun 14, 2023          03          20          36          42          64          04
1157    Mon  Jun 12, 2023          02          03          16          23          68          07
1156    Sat  Jun 10, 2023          21          32          42          46          50          04
1155    Wed  Jun 07, 2023          16          21          29          53          66          02
1154    Mon  Jun 05, 2023          02          31          45          46          49          20
1153    Sat  Jun 03, 2023          15          45          64          67          68          18
1152    Wed  May 31, 2023          02          04          54          61          62          14
1151    Mon  May 29, 2023          21          33          35          62          64          24
1150    Sat  May 27, 2023          24          38          39          48          56          04
1149    Wed  May 24, 2023          12          21          44          50          58          26
1148    Mon  May 22, 2023          09          38          48          52          68          25
1147    Sat  May 20, 2023          17          23          32          38          63          23
1146    Wed  May 17, 2023          18          34          37          45          51          14
1145    Mon  May 15, 2023          01          26          28          55          58          25
1144    Sat  May 13, 2023          03          15          20          23          46          11
1143    Wed  May 10, 2023          21          24          33          55          69          03
1142    Mon  May 08, 2023          15          20          33          36          43          12
1141    Sat  May 06, 2023          31          39          47          51          53          06
1140    Wed  May 03, 2023          21          26          30          45          47          23
1139    Mon  May 01, 2023          03          38          55          51          55          01
1138    Sat  Apr 29, 2023          16          53          54          57          65          08
1137    Wed  Apr 26, 2023          02          15          30          35          49          06
1136    Mon  Apr 24, 2023          19          21          55          66          68          03
1135    Sat  Apr 22, 2023          17          36          47          63          68          25
1134    Wed  Apr 19, 2023          04          11          21          38          64          11
1133    Mon  Apr 17, 2023          23          25          35          63          64          25
1132    Sat  Apr 15, 2023          01          33          34          56          59          18
1131    Wed  Apr 12, 2023          09          36          41          44          59          04
1130    Mon  Apr 10, 2023          09          10          36          46          52          14
1129    Sat  Apr 08, 2023          11          22          24          51          60          18
