Download Winning Numbers from www.calottery.com on 1/14/2017  (manually updated daily)  for Super Lotto

------  ------------------      --------    --------    --------    --------    --------    ---------
Draw #      Draw Date           Number_1    Number_2    Number_3    Number_4    Number_5    Powerball
------  ------------------      --------    --------    --------    --------    --------    ---------

+1058    Sat  Jun 17, 2023          00          00          00          00          00          00
1057    Wed  Jun 14, 2023          02          14          24          44          47          07
1056    Sat  Jun 10, 2023          07          09          17          21          28          16
1055    Wed  Jun 07, 2023          06          14          16          23          27          04
1054    Sat  Jun 03, 2023          07          19          30          37          43          16
1053    Wed  May 31, 2023          01          17          21          23          30          25
1052    Sat  May 27, 2023          04          17          20          21          36          19
1051    Wed  May 24, 2023          03          07          08          22          40          07
1054    Sat  May 20, 2023          02          03          31          42          45          19
1053    Wed  May 17, 2023          01          11          23          35          37          13
1052    Sat  May 13, 2023          05          11          16          18          39          12
1051    Wed  May 10, 2023          12          13          33          40          43          26
1050    Sat  May 06, 2023          07          17          21          29          42          22
1049    Wed  May 03, 2023          17          20          21          24          44          26
1048    Sat  Apr 29, 2023          06          16          27          46          47          09
1047    Wed  Apr 26, 2023          04          07          11          23          46          08
1046    Sat  Apr 22, 2023          12          22          41          42          43          18
1045    Wed  Apr 19, 2023          03          09          11          17          18          12
1044    Sat  Apr 15, 2023          17          30          31          36          46          01
1043    Wed  Apr 12, 2023          11          20          32          33          43          15
1142    Sat  Apr 08, 2023          02          04          16          37          39          18
1041    Wed  Apr 05, 2023          20          26          35          39          46          02
1140    Sat  Apr 01, 2023          02          09          11          13          46          09
1039    Wed  Mar 29, 2023          07          09          12          21          39          26
1138    Sat  Mar 25, 2023          04          12          13          42          47          01
1037    Wed  Mar 22, 2023          15          20          27          37          41          16
1136    Sat  Mar 18, 2023          08          10          16          19          36          12
1035    Wed  Mar 15, 2023          06          09          20          28          30          06
1034    Sat  Mar 11, 2023          13          16          35          36          38          25
1033    Wed  Mar 08, 2023          14          15          28          29          43          11
1032    Sat  Mar 04, 2023          04          09          20          27          34          17
1031    Wed  Mar 01, 2023          01          09          17          27          44          07
1030    Sat  Feb 25, 2023          04          15          22          24          32          07
1029    Wed  Feb 22, 2023          07          29          35          43          47          23
1028    Sat  Feb 18, 2023          02          03          36          38          45          24
1027    Wed  Feb 15, 2023          10          11          15          38          47          07
1026    Sat  Feb 11, 2023          02          12          19          20          34          22
1025    Wed  Feb 08, 2023          16          21          34          39          40          09
1024    Sat  Feb 04, 2023          06          15          16          24          35          14
1023    Wed  Feb 01, 2023          09          20          21          30          36          22
1022    Sat  Jan 28, 2023          08          29          31          33          36          04
1021    Wed  Jan 25, 2023          02          17          20          37          41          09
1020    Sat  Jan 21, 2023          07          16          22          31          42          21
1019    Wed  Jan 18, 2023          03          07          21          34          40          22
1018    Sat  Jan 14, 2023          04          10          13          24          40          02
1017    Wed  Jan 11, 2023          07          16          21          44          46          07
1016    Sat  Jan 07, 2023          04          06          11          31          46          22
1015    Wed  Jan 04, 2023          04          16          18          41          12          24
1014    Sat  Dec 31, 2022          06          09          20          22          42          03
1013    Wed  Dec 28, 2022          11          23          28          30          43          08
1012    Sat  Dec 24, 2022          02          30          34          42          43          06
1011    Wed  Dec 21, 2022          01          03          17          23          42          14
1010    Sat  Dec 17, 2022          03          04          11          27          39          22
1009    Wed  Dec 14, 2022          11          14          17          35          41          03
1008    Sat  Dec 10, 2022          13          18          19          22          38          11
1007    Wed  Dec 07, 2022          16          26          32          38          43          04
1006    Sat  Dec 03, 2022          04          11          12          15          45          24
1005    Wed  Nov 30, 2022          06          18          22          26          34          09
1004    Sat  Nov 26, 2022          01          08          09          44          47          16
1003    Wed  Nov 23, 2022          04          13          32          33          42          19
1002    Sat  Nov 19, 2022          01          24          32          34          44          25
1001    Wed  Nov 16, 2022          12          16          25          28          45          23
1000    Sat  Nov 12, 2022          02          05          17          40          46          01
999     Wed  Nov 09, 2022          03          06          08          40          44          19
998     Sat  Nov 05, 2022          03          15          21          38          42          24
997     Wed  Nov 02, 2022          07          09          14          39          43          01
996     Sat  Oct 29, 2022          06          12          19          24          28          01
995     Wed  Oct 26, 2022          05          08          31          46          47          15
994     Sat  Oct 22, 2022          05          08          12          14          16          22
993     Wed  Oct 19, 2022          08          12          14          26          37          09
992     Sat  Oct 15, 2022          05          10          16          34          35          11
991     Wed  Oct 12, 2022          05          22          30          34          43          26
990     Sat  Oct 08, 2022          09          11          17          33          36          07
989     Wed  Oct 05, 2022          02          08          09          28          43          14
988     Sat  Oct 01, 2022          03          22          23          31          44          08
987     Wed  Sep 28, 2022          13          16          28          33          45          09
986     Sat  Sep 24, 2022          06          12          21          23          36          07
985     Wed  Sep 21, 2022          06          14          16          36          46          09
984     Sat  Sep 17, 2022          08          09          13          46          47          01
983     Wed  Sep 14, 2022          01          07          08          28          42          13
982     Sat  Sep 10, 2022          02          13          25          34          43          16
981     Wed  Sep 07, 2022          24          25          28          39          44          26
980     Sat  Sep 03, 2022          20          24          25          30          35          08
979     Wed  Aug 31, 2022          02          16          19          24          42          24
978     Sat  Aug 27, 2022          16          17          25          43          45          09
977     Wed  Aug 24, 2022          07          10          15          40          44          05
976     Sat  Aug 20, 2022          01          07          18          22          38          04
975     Wed  Aug 17, 2022          02          09          25          38          41          18
974     Sat  Aug 13, 2022          01          12          25          42          45          09
973     Wed  Aug 10, 2022          03          11          21          23          45          14
972     Sat  Aug 06, 2022          19          26          28          35          39          06
971     Wed  Aug 03, 2022          01          10          24          25          43          05
970     Sat  Jul 30, 2022          02          11          28          29          33          03
969     Wed  Jul 27, 2022          02          08          11          13          21          21
968     Sat  Jul 23, 2022          02          10          24          41          47          10
967     Wed  Jul 20, 2022          07          16          30          40          44          16
966     Sat  Jul 16, 2022          02          14          26          35          43          27
965     Wed  Jul 13, 2022          12          19          20          36          42          03
964     Sat  Jul 09, 2022          02          17          19          23          39          05
963     Wed  Jul 06, 2022          10          13          34          38          41          21
962     Sat  Jul 02, 2022          04          11          15          25          42          18
961     Wed  Jun 29, 2022          12          19          25          38          46          15
960     Sat  Jun 25, 2022          03          27          39          43          44          01
959     Wed  Jun 22, 2022          24          33          35          38          42          04
958     Sat  Jun 18, 2022          02          10          11          18          39          15
957     Wed  Jun 15, 2022          08          13          24          25          33          09
956     Sat  Jun 11, 2022          04          11          13          25          26          02
955     Wed  Jun 08, 2022          01          32          34          41          42          22
954     Sat  Jun 04, 2022          09          13          21          27          45          05
953     Wed  Jun 01, 2022          25          26          39          42          43          23
952     Sat  May 28, 2022          03          09          12          15          42          17
951     Wed  May 25, 2022          09          38          42          43          47          17
950     Sat  May 21, 2022          08          13          21          39          47          09
949     Wed  May 18, 2022          02          10          26          38          45          09
948     Sat  May 14, 2022          06          25          30          34          36          03
947     Wed  May 11, 2022          08          34          37          44          45          03
946     Sat  May 07, 2022          13          20          21          29          46          08
945     Wed  May 04, 2022          05          09          20          27          42          17
944     Sat  Apr 30, 2022          03          15          21          35          46          18
943     Wed  Apr 27, 2022          03          11          13          23          34          23
942     Sat  Apr 23, 2022          13          19          21          22          39          09
941     Wed  Apr 20, 2022          02          29          36          40          47          11
940     Sat  Apr 16, 2022          12          13          14          25          35          13
939     Wed  Apr 13, 2022          08          10          14          17          40          19
938     Sat  Apr 09, 2022          02          07          10          33          37          11
937     Wed  Apr 06, 2022          20          24          40          42          44          17
936     Sat  Apr 02, 2022          03          05          12          17          41          11
935     Wed  Mar 30, 2022          05          10          16          26          43          24
934     Sat  Mar 26, 2022          04          06          14          28          35          04
933     Wed  Mar 23, 2022          24          25          32          38          41          23
932     Sat  Mar 19, 2022          13          17          30          33          37          17
931     Wed  Mar 16, 2022          21          28          33          45          46          05
930     Sat  Mar 12, 2022          11          14          17          19          43          13
929     Wed  Mar 09, 2022          19          34          36          41          42          03
928     Sat  Mar 05, 2022          05          07          13          36          44          16
927     Wed  Mar 02, 2022          06          14          16          19          38          08
926     Sat  Feb 26, 2022          02          04          06          30          41          26
925     Wed  Feb 23, 2022          05          10          15          31          32          25
924     Sat  Feb 19, 2022          03          12          24          30          36          06
923     Wed  Feb 16, 2022          01          08          36          38          40          10
922     Sat  Feb 12, 2022          02          10          23          42          44          10
921     Wed  Feb 09, 2022          20          35          37          39          44          02
920     Sat  Feb 05, 2022          07          10          15          28          34          26
919     Wed  Feb 02, 2022          18          21          31          45          47          01
918     Sat  Jan 29, 2022          09          10          22          25          34          27
919     Wed  Jan 26, 2022          06          07          17          31          44          12
918     Sat  Jan 22, 2022          25          36          43          44          46          02
917     Wed  Jan 19, 2022          08          25          27          46          47          24
916     Sat  Jan 15, 2022          01          26          34          42          45          10
915     Wed  Jan 12, 2022          10          33          35          39          47          22
914     Sat  Jan 08, 2022          02          13          25          41          42          27
913     Wed  Jan 05, 2022          02          09          17          20          25          07
912     Sat  Jan 01, 2022          01          05          22          29          42          02
911     Wed  Dec 29, 2021          01          29          30          43          47          03
910     Sat  Dec 25, 2021          05          08          09          29          43          27
909     Wed  Dec 22, 2021          11          16          20          21          26          05
908     Sat  Dec 18, 2021          26          33          35          37          42          18
907     Wed  Dec 15, 2021          05          08          09          19          39          09
906     Sat  Dec 11, 2021          06          07          10          20          25          26
905     Wed  Dec 08, 2021          04          06          23          41          46          04
904     Sat  Dec 04, 2021          07          11          14          19          46          26
903     Wed  Dec 01, 2021          05          06          10          34          44          27
902     Sat  Nov 27, 2021          01          11          27          31          36          22
